,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
12,000756.SZ,20220128,8.752,11.1236,11.5602,8.6727,11.1038,-2.351799999999999,-21.1801,345969950.0,3673876298.2
13,000756.SZ,20211231,11.1038,7.9284,12.5228,7.9086,7.9086,3.1952,40.4016,771168459.0,8030533163.29
14,000756.SZ,20211130,7.9086,7.4323,7.9384,7.2636,7.4224,0.4862000000000002,6.5504,48097759.0,370031618.26
15,000756.SZ,20211029,7.4224,7.7994,8.0078,7.2735,7.7895,-0.36710000000000065,-4.7128,19370676.0,150303792.62
16,000756.SZ,20210930,7.7895,7.9284,8.3254,7.7201,7.9284,-0.13889999999999958,-1.7519,44497419.0,363072661.46
17,000756.SZ,20210831,7.9284,7.9582,8.2162,7.7994,7.9582,-0.029799999999999827,-0.3745,32862138.0,264209195.19
18,000756.SZ,20210730,7.9582,8.6131,8.7223,7.7498,8.5933,-0.6350999999999996,-7.3906,32788440.0,275481809.85
19,000756.SZ,20210630,8.4328,8.8223,9.3968,8.2868,8.7639,-0.3310999999999993,-3.778,59962914.0,540196567.96
20,000756.SZ,20210531,8.7639,9.2021,9.3287,8.5886,9.1924,-0.42849999999999966,-4.6615,73892432.0,675384452.71
21,000756.SZ,20210430,9.1924,8.277,9.5429,8.2283,8.2965,0.8958999999999993,10.7985,99247905.0,912007458.6
22,000756.SZ,20210331,8.2965,8.2186,8.3549,7.8486,8.2186,0.07789999999999964,0.9478,31557780.0,263267578.36
23,000756.SZ,20210226,8.2186,7.8096,8.647,7.6246,7.8096,0.4090000000000007,5.2371,25325004.0,212244259.21
24,000756.SZ,20210129,7.8096,9.1437,9.6792,7.7901,9.1339,-1.324300000000001,-14.4987,38533151.0,342802367.15
25,000756.SZ,20201231,9.1339,9.6305,9.7182,9.0463,9.5916,-0.4576999999999991,-4.7719,37211452.0,362516568.96
26,000756.SZ,20201130,9.5916,9.9811,10.7796,9.5234,9.9811,-0.38949999999999996,-3.9024,94704406.0,999121226.46
27,000756.SZ,20201030,9.9811,9.1145,10.1953,9.1145,9.0658,0.9153000000000002,10.0962,81684871.0,818912210.58
28,000756.SZ,20200930,9.0658,10.2051,10.2635,8.91,10.2148,-1.149000000000001,-11.2484,84183457.0,822326720.59
29,000756.SZ,20200831,10.2148,11.9092,12.2013,9.8448,11.8897,-1.6748999999999992,-14.087,186480597.0,2094096300.4
30,000756.SZ,20200731,11.7647,10.011,12.1693,9.7123,9.9436,1.8210999999999995,18.3143,517048563.0,5954277469.02
31,000756.SZ,20200630,9.9436,9.1342,10.8108,9.0571,9.2402,0.7034000000000002,7.6124,280518196.0,2886963938.5
32,000756.SZ,20200529,9.2402,9.5967,10.5506,8.8259,9.5293,-0.28909999999999947,-3.0338,191165105.0,1922100101.26
33,000756.SZ,20200430,9.5293,11.6683,12.2175,9.4426,11.7839,-2.2546,-19.1329,334532188.0,3776782050.41
34,000756.SZ,20200331,11.7839,7.9395,12.8149,7.9395,7.9202,3.863699999999999,48.7829,573082833.0,6038227374.05
35,000756.SZ,20200228,7.9202,8.9704,11.0806,7.9009,8.1996,-0.27939999999999987,-3.4075,444794013.0,4149522906.32
36,000756.SZ,20200123,8.1996,7.2168,9.0282,7.1108,7.2457,0.9539,13.165,181764036.0,1494137500.88
37,000756.SZ,20191231,7.2457,6.658,7.5155,6.5038,6.658,0.5876999999999999,8.827,76002582.0,540821514.07
38,000756.SZ,20191129,6.658,6.8796,7.159,6.5905,6.9278,-0.26980000000000004,-3.8945,56826153.0,405217963.51
39,000756.SZ,20191031,6.9278,6.4653,6.9663,6.4075,6.4556,0.47220000000000084,7.3146,39383465.0,274496765.01
40,000756.SZ,20190930,6.4556,6.8025,7.2843,6.4171,6.8314,-0.3758000000000008,-5.5011,64072969.0,459392366.28
41,000756.SZ,20190830,6.8314,6.8025,7.1686,5.9931,6.8025,0.028900000000000148,0.4248,74996641.0,517323652.87
42,000756.SZ,20190731,6.8025,6.9663,7.265,6.7447,6.8892,-0.08669999999999956,-1.2585,68643821.0,498659594.11
43,000756.SZ,20190628,6.7951,6.9186,6.9661,6.1393,6.8616,-0.06650000000000045,-0.9692,62057139.0,431165114.05
44,000756.SZ,20190531,6.8616,7.0802,7.3843,6.6335,7.3653,-0.5037000000000003,-6.8388,96832722.0,712580386.46
45,000756.SZ,20190430,7.3653,7.2703,9.5131,7.1372,7.2703,0.09500000000000064,1.3067,224121829.0,1937664920.63
46,000756.SZ,20190329,7.2703,6.7666,7.5079,6.472,6.7381,0.5321999999999996,7.8984,168425697.0,1248099676.02
47,000756.SZ,20190228,6.7381,5.6071,6.8046,5.5406,5.6071,1.1310000000000002,20.1709,80200948.0,534154526.9
48,000756.SZ,20190131,5.6071,5.284,6.1488,5.17,5.2745,0.33260000000000023,6.3058,52860134.0,318277268.87
